,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
26461,Fiji,FJI,Women,1996,161.6929253,160.00879609999996,163.3381084
26562,Finland,FIN,Women,1996,165.8977048,164.2401034,167.54869680000004
26663,France,FRA,Women,1996,164.88159319999997,162.87739969999996,166.90771189999995
26764,French Polynesia,PYF,Women,1996,164.5160304,162.5707218,166.39330890000005
26865,Gabon,GAB,Women,1996,158.8364866,157.52913669999995,160.13750259999995
26966,Gambia,GMB,Women,1996,160.93495880000003,159.5287852,162.305177
27067,Georgia,GEO,Women,1996,162.9846123,161.1465786,164.87635830000005
27168,Germany,DEU,Women,1996,165.8635947,164.4028826,167.34045849999995
27269,Ghana,GHA,Women,1996,157.9096124,156.9655641,158.8598846
27370,Greece,GRC,Women,1996,164.8744011,163.290169,166.3485923
27471,Greenland,GRL,Women,1996,161.546615,159.4096178,163.62493
27572,Grenada,GRD,Women,1996,164.51315,162.0803,167.031249
27673,Guatemala,GTM,Women,1996,149.38867280000005,147.98698000000005,150.81852080000004
27774,Guinea,GIN,Women,1996,157.8016209,156.6337793,158.9705021
27875,Guinea Bissau,GNB,Women,1996,158.2362631,156.5192953,159.9005643
27976,Guyana,GUY,Women,1996,157.917772,155.9981316,159.8778264
28077,Haiti,HTI,Women,1996,158.7153844,157.5572091,159.90609709999995
28178,Honduras,HND,Women,1996,153.8415634,152.67404109999995,154.9823339
28279,Hungary,HUN,Women,1996,163.6605581,160.4706186,166.84561680000004
28380,Iceland,ISL,Women,1996,165.94635549999995,162.6581342,169.2408176
28481,India,IND,Women,1996,152.58963500000004,151.84572450000005,153.3096368
28582,Indonesia,IDN,Women,1996,152.7990437,151.8295784,153.7491823
28683,Iran,IRN,Women,1996,159.6668765,158.8963159,160.4245301
28784,Iraq,IRQ,Women,1996,158.6735735,153.2482916,164.13780830000005
28885,Ireland,IRL,Women,1996,165.1137476,163.4274604,166.73148390000003
28986,Israel,ISR,Women,1996,161.8040824,159.5621617,164.04229640000003
29087,Italy,ITA,Women,1996,164.6091934,162.7913669,166.51357380000005
29188,Jamaica,JAM,Women,1996,163.12122680000004,161.6065081,164.6468263
29289,Japan,JPN,Women,1996,158.3148015,157.591586,159.0311346
29390,Jordan,JOR,Women,1996,158.82805109999995,157.8127364,159.8259433
29491,Kazakhstan,KAZ,Women,1996,159.5783409,157.31991269999997,161.8025048
29592,Kenya,KEN,Women,1996,158.16405,157.1625003,159.1442948
29693,Kiribati,KIR,Women,1996,157.0008244,154.7446549,159.21625980000005
29794,Kuwait,KWT,Women,1996,159.4295678,158.2609308,160.6179467
29895,Kyrgyzstan,KGZ,Women,1996,159.3541814,158.0716915,160.6324637
29996,Lao PDR,LAO,Women,1996,151.2676137,149.8530288,152.7275545
30097,Latvia,LVA,Women,1996,169.79793069999997,167.0432842,172.58420790000002
30198,Lebanon,LBN,Women,1996,162.42937609999996,160.45248590000003,164.4645389
30299,Lesotho,LSO,Women,1996,155.7082754,154.39335580000005,157.0004952
30400,Liberia,LBR,Women,1996,155.66039709999995,154.4214582,156.8883611
30501,Libya,LBY,Women,1996,162.0842575,159.56552340000005,164.6722292
30602,Lithuania,LTU,Women,1996,166.6160881,164.2258901,169.06495859999995
30703,Luxembourg,LUX,Women,1996,164.4286678,162.0447812,166.8786469
30804,Macedonia (TFYR),MKD,Women,1996,159.7820937,156.9933817,162.635869
30905,Madagascar,MDG,Women,1996,151.1801437,149.8772409,152.48586509999996
31006,Malawi,MWI,Women,1996,154.40466919999997,153.225056,155.5990083
31107,Malaysia,MYS,Women,1996,156.29668,155.3602972,157.2258511
31208,Maldives,MDV,Women,1996,155.01935659999995,153.7276947,156.36354719999997
31309,Mali,MLI,Women,1996,160.4650957,159.3595136,161.5437114
31410,Malta,MLT,Women,1996,160.8546419,156.6916424,164.93275269999995
31511,Marshall Islands,MHL,Women,1996,151.3064655,149.032576,153.5854417
31612,Mauritania,MRT,Women,1996,157.7219137,154.77894019999997,160.71557119999997
31713,Mauritius,MUS,Women,1996,157.2444285,155.23866819999995,159.195115
31814,Mexico,MEX,Women,1996,156.84882180000002,155.9263905,157.7656023
31915,Micronesia (Federated States of),FSM,Women,1996,156.0856618,154.0787548,158.1129584
32016,Moldova,MDA,Women,1996,163.2428841,161.781429,164.7678239
32117,Mongolia,MNG,Women,1996,158.21705219999996,157.1195416,159.3704412
32218,Montenegro,MNE,Women,1996,164.8559181,159.47903159999996,170.3296417
32319,Morocco,MAR,Women,1996,157.8216326,156.0016725,159.5673845
32420,Mozambique,MOZ,Women,1996,153.9601295,152.722747,155.16857280000005
32521,Myanmar,MMR,Women,1996,154.371918,152.7937063,155.9370261
32622,Namibia,NAM,Women,1996,158.7785447,157.7028371,159.87207450000002
32723,Nauru,NRU,Women,1996,153.9823756,152.2440771,155.7315152
32824,Nepal,NPL,Women,1996,150.860985,149.9719281,151.76867919999995
32925,Netherlands,NLD,Women,1996,168.7185794,167.0781375,170.3457937
33026,New Zealand,NZL,Women,1996,164.9405475,164.0707173,165.8194718
33127,Nicaragua,NIC,Women,1996,154.3935365,152.99283269999995,155.8467293
33228,Niger,NER,Women,1996,158.2530879,157.136667,159.3842766
33329,Nigeria,NGA,Women,1996,156.3214927,155.3639562,157.2359384
33430,Niue,NIU,Women,1996,164.79654340000005,162.5976334,166.9969324
